transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency,fx_rate,transaction_amount_euro
1000000,2025-02-12,3301,withdrawal,1028.82,BGN,1.9558,526.0353819408937
1000001,2025-02-13,82,withdrawal,442.63,DKK,7.4586,59.34491727670072
1000002,2025-02-07,1791,withdrawal,5978.64,JPY,157.77,37.89465677885529
1000003,2025-01-15,1408,transfer,8259.45,CHF,0.9394,8792.261017670855
1000004,2025-03-02,4863,deposit,7538.88,CZK,25.029,301.2058012705262
1000005,2025-01-25,971,deposit,1007.1,CHF,0.9494,1060.7752264588162
1000006,2025-01-01,3428,transfer,8988.02,PLN,4.275,2102.4608187134504
1000007,2025-02-11,3845,withdrawal,7038.7,CHF,0.9429,7464.948562944109
1000008,2025-03-02,2948,transfer,1345.45,SEK,11.188,120.25831247765463
1000009,2025-02-15,4246,transfer,8664.56,BGN,1.9558,4430.187135698947
1000010,2025-01-14,352,withdrawal,3402.05,HUF,412.05,8.256400922218178
1000011,2025-02-07,3204,transfer,4062.13,HUF,405.55,10.016348169153002
1000012,2025-02-04,2404,transfer,268.72,RON,4.9769,53.993449737788595
1000013,2025-02-18,1273,withdrawal,8899.43,NOK,11.659,763.3098893558624
1000014,2025-02-26,2667,withdrawal,581.71,TRY,38.213,15.222829926988199
1000015,2025-01-03,3409,transfer,8764.68,CZK,25.166,348.2746562822856
1000016,2025-02-11,1258,deposit,9858.08,JPY,157.28,62.67853509664293
1000017,2025-01-23,4284,transfer,5362.47,RON,4.9763,1077.6018326869362
1000018,2025-01-27,912,withdrawal,7479.51,PLN,4.2193,1772.6897826653712
1000019,2025-01-14,189,withdrawal,2733.52,PLN,4.2683,640.423587845278
1000020,2025-02-13,482,deposit,2229.94,PLN,4.1688,534.9117251966993
1000021,2025-01-24,4809,transfer,8086.66,CZK,25.097,322.2162011395784
1000022,2025-01-01,4185,withdrawal,4329.43,CZK,25.185,171.90510224339886
1000023,2025-01-26,467,transfer,9373.3,AUD,1.66,5646.566265060241
1000024,2025-01-03,2921,withdrawal,9713.67,NOK,11.713,829.3067531802271
1000025,2025-02-14,4787,withdrawal,8144.49,CHF,0.9442,8625.810209701334
1000026,2025-01-21,1514,withdrawal,7219.19,JPY,161.26,44.767394270122786
1000027,2025-01-21,3048,transfer,2574.91,RON,4.9768,517.3826555216203
1000028,2025-03-02,4260,withdrawal,5245.19,PLN,4.1503,1263.8098450714406
1000029,2025-02-07,1044,transfer,663.98,JPY,157.77,4.208531406477784
1000030,2025-01-28,1757,deposit,3689.94,PLN,4.2078,876.9285612434052
1000031,2025-01-18,1632,transfer,8369.08,DKK,7.4608,1121.7402959468154
1000032,2025-02-23,4275,transfer,7544.06,CZK,25.082,300.7758551949605
1000033,2025-01-20,2435,deposit,5670.2,SEK,11.4945,493.2967941189264
1000034,2025-01-15,1059,deposit,1368.99,JPY,161.75,8.463616692426584
1000035,2025-01-24,1343,deposit,4885.04,RON,4.9761,981.700528526356
1000036,2025-03-09,3191,transfer,8712.69,RON,4.9757,1751.048093735555
1000037,2025-02-21,2869,deposit,6146.15,CHF,0.942,6524.575371549894
1000038,2025-02-19,2486,withdrawal,2241.29,DKK,7.4588,300.489354856009
1000039,2025-02-28,4213,transfer,471.36,JPY,156.96,3.003058103975535
1000040,2025-02-20,4040,withdrawal,9697.09,GBP,0.82823,11708.209072359126
1000041,2025-01-07,3627,withdrawal,3396.85,CZK,25.137,135.1334685921152
1000042,2025-03-10,1902,transfer,5032.48,CZK,24.957,201.6460311736186
1000043,2025-03-08,1004,deposit,5752.38,GBP,0.84088,6840.904766435164
1000044,2025-02-18,84,withdrawal,7487.03,SEK,11.2115,667.799134816929
1000045,2025-01-18,4040,withdrawal,4193.99,TRY,36.627,114.50541949927647
1000046,2025-03-04,1066,withdrawal,8588.35,DKK,7.4589,1151.4231320972262
1000047,2025-01-16,1458,withdrawal,3593.0,NOK,11.6965,307.1859103150515
1000048,2025-03-01,3650,transfer,7361.47,RON,4.9768,1479.157289824787
1000049,2025-02-18,1801,withdrawal,9576.56,GBP,0.83025,11534.549834387231
1000050,2025-02-17,1548,transfer,125.75,CHF,0.944,133.20974576271186
1000051,2025-02-01,775,transfer,7494.32,TRY,37.266,201.10341866580796
1000052,2025-02-15,1503,transfer,1982.43,GBP,0.83215,2382.2988643874305
1000053,2025-02-02,1511,deposit,2328.12,AUD,1.6702,1393.916896180098
1000054,2025-03-04,542,deposit,8223.08,NOK,11.808,696.3990514905149
1000055,2025-02-06,3915,deposit,3951.12,HUF,406.1,9.729426249692192
1000056,2025-02-21,387,transfer,6921.54,CHF,0.942,7347.707006369427
1000057,2025-03-10,4159,transfer,2255.3,GBP,0.83849,2689.7160371620416
1000058,2025-02-14,3893,transfer,7801.31,JPY,160.09,48.730776438253486
1000059,2025-02-01,309,deposit,4841.1,AUD,1.6702,2898.515147886481
1000060,2025-03-09,311,transfer,8394.42,SEK,10.9715,765.1114250558264
1000061,2025-01-25,1694,deposit,5433.0,CHF,0.9494,5722.561617863914
1000062,2025-03-07,590,transfer,8525.97,GBP,0.84088,10139.34211778137
