branch_id,branch_name,transaction_date,transaction_currency,count_transactions,count_deposits,count_withdrawals,count_transfers,unique_customers,transactions_under_30,transactions_30_to_50,transactions_over_50,share_customers_under_30,share_customers_30_to_50,share_customers_over_50,total_transaction_amount_euro,avg_transaction_amount_euro,transactions_with_account,transactions_without_account
30,Budapest,2025-01-15,CHF,1,0,0,1,1,0,0,1,0.0,0.0,1.0,8792.261017670855,8792.261017670855,1,0
21,Helsinki,2025-01-03,CZK,3,1,1,1,2,0,0,3,0.0,0.0,1.0,894.4103155050465,298.1367718350155,3,0
61,Brussels,2025-01-23,RON,1,0,0,1,1,0,1,0,0.0,1.0,0.0,1077.6018326869362,1077.6018326869362,1,0
78,Belgrade,2025-01-24,CZK,1,0,0,1,1,0,0,1,0.0,0.0,1.0,322.2162011395784,322.2162011395784,1,0
13,Bologna,2025-02-23,CZK,2,1,0,1,2,1,0,1,0.5,0.0,0.5,556.3156845546607,278.15784227733036,2,0
80,Bucharest,2025-03-10,CZK,2,0,0,2,2,0,1,1,0.0,0.5,0.5,515.9225868493809,257.96129342469044,2,0
85,Casablanca,2025-03-08,GBP,2,1,0,1,2,0,1,1,0.0,0.5,0.5,11141.14974788317,5570.574873941585,2,0
38,Stuttgart,2025-03-01,RON,1,0,0,1,1,1,0,0,1.0,0.0,0.0,1479.157289824787,1479.157289824787,1,0
99,Bangkok,2025-03-04,NOK,1,1,0,0,1,1,0,0,1.0,0.0,0.0,696.3990514905149,696.3990514905149,1,0
26,Frankfurt,2025-02-06,HUF,3,2,0,1,3,0,1,2,0.0,0.33333334,0.6666667,40.426101945333656,13.47536731511122,3,0
67,Kiev,2025-03-05,NOK,1,1,0,0,1,0,0,1,0.0,0.0,1.0,594.6768189509306,594.6768189509306,1,0
76,Dushanbe,2025-01-28,NOK,1,0,1,0,1,0,1,0,0.0,1.0,0.0,718.2697287430487,718.2697287430487,1,0
6,Hamburg,2025-01-28,PLN,2,0,2,0,2,0,1,1,0.0,0.5,0.5,3276.728931983459,1638.3644659917295,2,0
17,Basel,2025-01-11,ISK,1,1,0,0,1,0,0,1,0.0,0.0,1.0,59.15898141775636,59.15898141775636,1,0
35,Podgorica,2025-02-14,CHF,1,1,0,0,1,0,0,1,0.0,0.0,1.0,4277.547129845371,4277.547129845371,1,0
14,Marseille,2025-01-28,GBP,1,0,1,0,1,0,0,1,0.0,0.0,1.0,9553.095340296657,9553.095340296657,1,0
11,Skopje,2025-02-06,HUF,3,0,2,1,3,0,0,3,0.0,0.0,1.0,43.82945087416892,14.609816958056307,3,0
65,Yerevan,2025-02-12,GBP,1,0,1,0,1,0,0,1,0.0,0.0,1.0,4436.3555640884115,4436.3555640884115,1,0
92,Seoul,2025-02-07,AUD,1,0,0,1,1,1,0,0,1.0,0.0,0.0,3637.5491679273828,3637.5491679273828,1,0
96,Reykjavik,2025-03-10,HUF,1,0,0,1,1,0,0,1,0.0,0.0,1.0,4.849092502190512,4.849092502190512,1,0
33,Ghent,2025-01-13,AUD,1,0,1,0,1,0,0,1,0.0,0.0,1.0,4881.650380021716,4881.650380021716,1,0
79,Nur-Sultan,2025-02-02,DKK,1,1,0,0,1,0,0,1,0.0,0.0,1.0,150.31627757377578,150.31627757377578,1,0
45,Vienna,2025-01-24,DKK,2,0,0,2,2,1,1,0,0.5,0.5,0.0,899.7319537888332,449.8659768944166,2,0
44,Valencia,2025-01-11,BGN,1,0,1,0,1,0,0,1,0.0,0.0,1.0,4068.6777789139996,4068.6777789139996,1,0
90,Bratislava,2025-01-08,JPY,1,1,0,0,1,1,0,0,1.0,0.0,0.0,6.389898122008102,6.389898122008102,1,0
58,Ljubljana,2025-02-12,TRY,1,0,1,0,1,0,0,1,0.0,0.0,1.0,190.2773028424877,190.2773028424877,1,0
7,London,2025-01-29,BGN,1,0,1,0,1,0,0,1,0.0,0.0,1.0,829.6093670109418,829.6093670109418,1,0
