branch_id,branch_name,transaction_date,count_transactions,count_deposits,count_withdrawals,count_transfers,share_deposits,share_withdrawals,share_transfers,unique_customers,transactions_under_30,transactions_30_to_50,transactions_over_50,share_customers_under_30,share_customers_30_to_50,share_customers_over_50,total_transaction_amount_euro,avg_transaction_amount_euro,num_transaction_currencies,transactions_with_account,transactions_without_account,transaction_amount_euro_without_account
60,Utrecht,2025-02-12,4,1,2,1,0.25,0.5,0.25,4,0,3,1,0.0,0.75,0.25,1878.754111957872,469.688527989468,4,4,0,0.0
92,Seoul,2025-01-25,9,3,2,4,0.33333334,0.22222222,0.44444445,8,1,6,2,0.11111111,0.6666667,0.22222222,4083.269858593111,453.69665095479013,9,9,0,0.0
20,Vilnius,2025-01-14,10,3,3,4,0.3,0.3,0.4,10,0,4,6,0.0,0.4,0.6,10237.475685182362,1023.7475685182362,7,10,0,0.0
19,Sofia,2025-02-21,7,5,0,2,0.71428573,0.0,0.2857143,6,0,5,2,0.0,0.71428573,0.2857143,15669.91257035561,2238.55893862223,5,7,0,0.0
86,Sydney,2025-02-20,7,2,1,4,0.2857143,0.14285715,0.5714286,6,0,1,6,0.0,0.14285715,0.85714287,17634.198132751615,2519.171161821659,7,7,0,0.0
17,Basel,2025-03-04,13,2,5,6,0.15384616,0.3846154,0.46153846,11,1,2,10,0.07692308,0.15384616,0.7692308,15984.784458121374,1229.598804470875,7,13,0,0.0
51,Johannesburg,2025-02-18,14,4,5,5,0.2857143,0.35714287,0.35714287,13,2,1,11,0.14285715,0.071428575,0.78571427,46637.333355219635,3331.2380968014027,10,14,0,0.0
99,Bangkok,2025-03-04,8,2,5,1,0.25,0.625,0.125,7,2,2,4,0.25,0.25,0.5,6509.296074712007,813.6620093390009,6,8,0,0.0
96,Reykjavik,2025-02-26,16,4,8,4,0.25,0.5,0.25,14,2,6,8,0.125,0.375,0.5,32265.0746668728,2016.56716667955,12,16,0,0.0
20,Vilnius,2025-02-14,12,4,5,3,0.33333334,0.41666666,0.25,10,4,3,5,0.33333334,0.25,0.41666666,13456.083071363195,1121.340255946933,9,12,0,0.0
76,Dushanbe,2025-02-19,8,2,3,3,0.25,0.375,0.375,7,3,2,3,0.375,0.25,0.375,5243.7273012400465,655.4659126550058,6,8,0,0.0
76,Dushanbe,2025-01-28,4,1,2,1,0.25,0.5,0.25,4,0,3,1,0.0,0.75,0.25,8350.874959072016,2087.718739768004,3,4,0,0.0
65,Yerevan,2025-02-09,15,7,4,4,0.46666667,0.26666668,0.26666668,14,2,1,12,0.13333334,0.06666667,0.8,31807.678208922727,2120.5118805948487,9,15,0,0.0
92,Seoul,2025-03-04,11,3,3,5,0.27272728,0.27272728,0.45454547,10,3,6,2,0.27272728,0.54545456,0.18181819,16174.056236254104,1470.368748750373,9,11,0,0.0
98,Paris,2025-01-20,10,3,1,6,0.3,0.1,0.6,10,0,3,7,0.0,0.3,0.7,16709.72958771825,1670.9729587718252,6,10,0,0.0
2,Porto,2025-01-06,5,1,1,3,0.2,0.2,0.6,5,0,1,4,0.0,0.2,0.8,5264.03847527216,1052.807695054432,5,5,0,0.0
28,Zurich,2025-01-28,2,2,0,0,1.0,0.0,0.0,2,0,2,0,0.0,1.0,0.0,145.2170580607624,72.6085290303812,2,2,0,0.0
48,Rotterdam,2025-01-18,14,5,4,5,0.35714287,0.2857143,0.35714287,12,2,7,5,0.14285715,0.5,0.35714287,17016.677027401252,1215.476930528661,12,14,0,0.0
11,Skopje,2025-02-06,10,2,6,2,0.2,0.6,0.2,8,0,1,9,0.0,0.1,0.9,11070.855489307982,1107.0855489307983,7,10,0,0.0
92,Seoul,2025-01-31,10,2,6,2,0.2,0.6,0.2,8,3,0,7,0.3,0.0,0.7,32550.655169544574,3255.0655169544575,8,10,0,0.0
17,Basel,2025-01-23,11,4,3,4,0.36363637,0.27272728,0.36363637,10,3,4,4,0.27272728,0.36363637,0.36363637,4810.5780169882755,437.3252742716614,8,11,0,0.0
55,Chicago,2025-01-09,19,8,1,10,0.42105263,0.05263158,0.5263158,17,3,3,13,0.15789473,0.15789473,0.68421054,43791.82296325706,2304.832787539845,11,19,0,0.0
33,Ghent,2025-02-03,12,3,6,3,0.25,0.5,0.25,12,3,4,5,0.25,0.33333334,0.41666666,20117.68228736404,1676.4735239470035,9,12,0,0.0
7,London,2025-01-18,5,4,0,1,0.8,0.0,0.2,5,1,3,1,0.2,0.6,0.2,6613.534765341037,1322.7069530682074,4,5,0,0.0
78,Belgrade,2025-03-06,8,4,3,1,0.5,0.375,0.125,7,1,0,7,0.125,0.0,0.875,15937.55006933645,1992.1937586670563,6,8,0,0.0
13,Bologna,2025-02-06,13,7,4,2,0.53846157,0.30769232,0.15384616,11,1,3,9,0.07692308,0.23076923,0.6923077,11769.287592068646,905.3298147745112,8,13,0,0.0
7,London,2025-01-29,9,3,4,2,0.33333334,0.44444445,0.22222222,9,2,3,4,0.22222222,0.33333334,0.44444445,5632.304596271157,625.8116218079062,6,9,0,0.0
40,Istanbul,2025-03-06,4,2,0,2,0.5,0.0,0.5,4,0,1,3,0.0,0.25,0.75,5550.750380396212,1387.687595099053,4,4,0,0.0
5,Bergen,2025-01-24,6,1,3,2,0.16666667,0.5,0.33333334,6,2,0,4,0.33333334,0.0,0.6666667,1825.0963863706554,304.1827310617759,5,6,0,0.0
4,Amsterdam,2025-02-28,7,2,1,4,0.2857143,0.14285715,0.5714286,6,1,1,5,0.14285715,0.14285715,0.71428573,7650.043436290198,1092.863348041457,6,7,0,0.0
84,Bishkek,2025-02-01,15,8,3,4,0.53333336,0.2,0.26666668,15,1,7,7,0.06666667,0.46666667,0.46666667,33368.002004117545,2224.5334669411695,8,15,0,0.0
90,Bratislava,2025-02-24,6,3,0,3,0.5,0.0,0.5,5,1,1,4,0.16666667,0.16666667,0.6666667,3262.1882865163407,543.6980477527235,5,6,0,0.0
56,Riga,2025-02-06,9,3,0,6,0.33333334,0.0,0.6666667,8,2,3,4,0.22222222,0.33333334,0.44444445,23156.099231415883,2572.899914601765,9,9,0,0.0
