currency_iso_code,fx_rate_date,fx_rate
AUD,2024-12-31,1.6772
AUD,2025-01-02,1.6618
AUD,2025-01-03,1.6556
AUD,2025-01-06,1.6555
AUD,2025-01-07,1.6557
AUD,2025-01-08,1.66
AUD,2025-01-09,1.663
AUD,2025-01-10,1.6655
AUD,2025-01-13,1.6578
AUD,2025-01-14,1.6601
AUD,2025-01-15,1.6616
AUD,2025-01-16,1.6574
AUD,2025-01-17,1.6646
AUD,2025-01-20,1.6627
AUD,2025-01-21,1.6639
AUD,2025-01-22,1.6603
AUD,2025-01-23,1.6594
AUD,2025-01-24,1.66
AUD,2025-01-27,1.67
AUD,2025-01-28,1.6698
AUD,2025-01-29,1.671
AUD,2025-01-30,1.6705
AUD,2025-01-31,1.6702
AUD,2025-02-03,1.6671
AUD,2025-02-04,1.6629
AUD,2025-02-05,1.658
AUD,2025-02-06,1.6547
AUD,2025-02-07,1.6525
AUD,2025-02-10,1.6448
AUD,2025-02-11,1.6442
AUD,2025-02-12,1.6525
AUD,2025-02-13,1.6591
AUD,2025-02-14,1.6514
AUD,2025-02-17,1.6456
AUD,2025-02-18,1.6466
AUD,2025-02-19,1.6419
AUD,2025-02-20,1.6382
AUD,2025-02-21,1.6394
AUD,2025-02-24,1.6434
AUD,2025-02-25,1.6538
AUD,2025-02-26,1.6622
AUD,2025-02-27,1.6638
AUD,2025-02-28,1.6741
AUD,2025-03-03,1.6811
AUD,2025-03-04,1.6919
AUD,2025-03-05,1.703
AUD,2025-03-06,1.7037
AUD,2025-03-07,1.7258
AUD,2025-03-10,1.7158
BGN,2024-12-31,1.9558
BGN,2025-01-02,1.9558
BGN,2025-01-03,1.9558
BGN,2025-01-06,1.9558
BGN,2025-01-07,1.9558
BGN,2025-01-08,1.9558
BGN,2025-01-09,1.9558
BGN,2025-01-10,1.9558
BGN,2025-01-13,1.9558
BGN,2025-01-14,1.9558
BGN,2025-01-15,1.9558
BGN,2025-01-16,1.9558
BGN,2025-01-17,1.9558
BGN,2025-01-20,1.9558
BGN,2025-01-21,1.9558
BGN,2025-01-22,1.9558
BGN,2025-01-23,1.9558
BGN,2025-01-24,1.9558
BGN,2025-01-27,1.9558
BGN,2025-01-28,1.9558
BGN,2025-01-29,1.9558
BGN,2025-01-30,1.9558
BGN,2025-01-31,1.9558
BGN,2025-02-03,1.9558
BGN,2025-02-04,1.9558
BGN,2025-02-05,1.9558
BGN,2025-02-06,1.9558
BGN,2025-02-07,1.9558
BGN,2025-02-10,1.9558
BGN,2025-02-11,1.9558
BGN,2025-02-12,1.9558
BGN,2025-02-13,1.9558
BGN,2025-02-14,1.9558
BGN,2025-02-17,1.9558
BGN,2025-02-18,1.9558
BGN,2025-02-19,1.9558
BGN,2025-02-20,1.9558
BGN,2025-02-21,1.9558
BGN,2025-02-24,1.9558
BGN,2025-02-25,1.9558
BGN,2025-02-26,1.9558
BGN,2025-02-27,1.9558
BGN,2025-02-28,1.9558
BGN,2025-03-03,1.9558
BGN,2025-03-04,1.9558
BGN,2025-03-05,1.9558
BGN,2025-03-06,1.9558
BGN,2025-03-07,1.9558
BGN,2025-03-10,1.9558
CHF,2024-12-31,0.9412
CHF,2025-01-02,0.9371
CHF,2025-01-03,0.9362
CHF,2025-01-06,0.9396
CHF,2025-01-07,0.9426
CHF,2025-01-08,0.9379
CHF,2025-01-09,0.9397
CHF,2025-01-10,0.9416
CHF,2025-01-13,0.9346
CHF,2025-01-14,0.9395
CHF,2025-01-15,0.9394
CHF,2025-01-16,0.9376
CHF,2025-01-17,0.9394
CHF,2025-01-20,0.9429
CHF,2025-01-21,0.9427
CHF,2025-01-22,0.9449
CHF,2025-01-23,0.9442
CHF,2025-01-24,0.9494
CHF,2025-01-27,0.9453
CHF,2025-01-28,0.9441
CHF,2025-01-29,0.943
CHF,2025-01-30,0.9441
CHF,2025-01-31,0.9449
CHF,2025-02-03,0.9393
CHF,2025-02-04,0.9396
CHF,2025-02-05,0.9395
CHF,2025-02-06,0.9385
CHF,2025-02-07,0.9418
CHF,2025-02-10,0.9396
CHF,2025-02-11,0.9429
CHF,2025-02-12,0.9457
CHF,2025-02-13,0.9421
CHF,2025-02-14,0.9442
CHF,2025-02-17,0.944
CHF,2025-02-18,0.9425
CHF,2025-02-19,0.9435
CHF,2025-02-20,0.9423
CHF,2025-02-21,0.942
CHF,2025-02-24,0.9415
CHF,2025-02-25,0.9386
CHF,2025-02-26,0.9392
CHF,2025-02-27,0.9407
CHF,2025-02-28,0.9394
CHF,2025-03-03,0.9428
CHF,2025-03-04,0.9371
CHF,2025-03-05,0.9514
CHF,2025-03-06,0.9565
CHF,2025-03-07,0.9557
CHF,2025-03-10,0.9512
CZK,2024-12-31,25.185
CZK,2025-01-02,25.177
CZK,2025-01-03,25.166
CZK,2025-01-06,25.154
CZK,2025-01-07,25.137
CZK,2025-01-08,25.15
CZK,2025-01-09,25.116
CZK,2025-01-10,25.09
CZK,2025-01-13,25.23
CZK,2025-01-14,25.294
CZK,2025-01-15,25.218
CZK,2025-01-16,25.231
CZK,2025-01-17,25.265
CZK,2025-01-20,25.209
CZK,2025-01-21,25.178
CZK,2025-01-22,25.139
CZK,2025-01-23,25.14
CZK,2025-01-24,25.097
CZK,2025-01-27,25.102
CZK,2025-01-28,25.091
CZK,2025-01-29,25.122
CZK,2025-01-30,25.121
CZK,2025-01-31,25.166
CZK,2025-02-03,25.254
CZK,2025-02-04,25.172
CZK,2025-02-05,25.136
CZK,2025-02-06,25.139
CZK,2025-02-07,25.108
CZK,2025-02-10,25.073
CZK,2025-02-11,25.101
CZK,2025-02-12,25.075
CZK,2025-02-13,25.057
CZK,2025-02-14,25.043
CZK,2025-02-17,25.056
CZK,2025-02-18,25.098
CZK,2025-02-19,25.101
CZK,2025-02-20,25.073
CZK,2025-02-21,25.082
CZK,2025-02-24,25.062
CZK,2025-02-25,24.939
CZK,2025-02-26,24.948
CZK,2025-02-27,24.987
CZK,2025-02-28,25.029
CZK,2025-03-03,25.097
CZK,2025-03-04,25.025
CZK,2025-03-05,25.048
CZK,2025-03-06,25.047
CZK,2025-03-07,25.016
CZK,2025-03-10,24.957
DKK,2024-12-31,7.4578
DKK,2025-01-02,7.4583
DKK,2025-01-03,7.4599
DKK,2025-01-06,7.4591
DKK,2025-01-07,7.4592
DKK,2025-01-08,7.4608
DKK,2025-01-09,7.4609
DKK,2025-01-10,7.4606
DKK,2025-01-13,7.4605
DKK,2025-01-14,7.4607
DKK,2025-01-15,7.4611
DKK,2025-01-16,7.4609
DKK,2025-01-17,7.4608
DKK,2025-01-20,7.4611
DKK,2025-01-21,7.4614
DKK,2025-01-22,7.4612
DKK,2025-01-23,7.4606
DKK,2025-01-24,7.4614
DKK,2025-01-27,7.4625
DKK,2025-01-28,7.4626
DKK,2025-01-29,7.4627
DKK,2025-01-30,7.4616
